seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	856026	856035	10	*	X00006	100130417	852953	854817	1865	-	1208	upstream	1208	LINC02593
chr1	856131	856140	10	*	X00007	100130417	852953	854817	1865	-	1313	upstream	1313	LINC02593
chr1	901027	901041	15	*	X00018	84069	901877	910484	8608	+	835	upstream	835	PLEKHN1
chr1	936229	936238	10	*	X00024	57801	934342	935552	1211	-	676	upstream	676	HES4
chr1	948829	948837	9	*	X00026	9636	948847	949919	1073	+	9	upstream	9	ISG15
chr1	1010204	1010213	10	*	X00074	401934	1007126	1009687	2562	-	516	upstream	516	RNF223
chr1	1010319	1010328	10	*	X00075	401934	1007126	1009687	2562	-	631	upstream	631	RNF223
chr1	1010338	1010350	13	*	X00076	401934	1007126	1009687	2562	-	650	upstream	650	RNF223
chr1	1053681	1053690	10	*	X00082	54991	1017198	1051736	34539	-	1944	upstream	1944	C1orf159
chr1	1169118	1169126	9	*	X00119	51150	1152288	1167447	15160	-	1670	upstream	1670	SDF4
chr1	1242037	1242051	15	*	X00152	126789	1243994	1247057	3064	+	1942	upstream	1942	PUSL1
chr1	1242190	1242198	9	*	X00153	126789	1243994	1247057	3064	+	1795	upstream	1795	PUSL1
chr1	1242262	1242274	13	*	X00154	126789	1243994	1247057	3064	+	1719	upstream	1719	PUSL1
chr1	1242527	1242536	10	*	X00155	126789	1243994	1247057	3064	+	1457	upstream	1457	PUSL1
chr1	1242607	1242616	10	*	X00156	126789	1243994	1247057	3064	+	1377	upstream	1377	PUSL1
chr1	1264915	1264924	10	*	X00161	83756	1266726	1269844	3119	+	1801	upstream	1801	TAS1R3
chr1	1265071	1265082	12	*	X00162	83756	1266726	1269844	3119	+	1643	upstream	1643	TAS1R3
chr1	1265226	1265235	10	*	X00163	83756	1266726	1269844	3119	+	1490	upstream	1490	TAS1R3
chr1	1265311	1265320	10	*	X00164	83756	1266726	1269844	3119	+	1405	upstream	1405	TAS1R3
chr1	1265351	1265360	10	*	X00165	83756	1266726	1269844	3119	+	1365	upstream	1365	TAS1R3
chr1	1265373	1265382	10	*	X00166	83756	1266726	1269844	3119	+	1343	upstream	1343	TAS1R3
chr1	1265426	1265434	9	*	X00167	83756	1266726	1269844	3119	+	1291	upstream	1291	TAS1R3
chr1	1265451	1265461	11	*	X00168	83756	1266726	1269844	3119	+	1264	upstream	1264	TAS1R3
chr1	1265525	1265534	10	*	X00169	83756	1266726	1269844	3119	+	1191	upstream	1191	TAS1R3
chr1	1265577	1265586	10	*	X00170	83756	1266726	1269844	3119	+	1139	upstream	1139	TAS1R3
chr1	1342633	1342642	10	*	X00202	55052	1337276	1342693	5418	-	0	inside	50	MRPL20
